STATION,DATE,TMAX,TMIN,TOBS
GHCND:USC00194105,20150730,88,69,74
GHCND:USC00194105,20150731,91,68,70
GHCND:USC00194105,20150801,84,66,77
GHCND:USC00194105,20150802,83,63,67
GHCND:USC00194105,20150803,84,64,74
GHCND:USC00194105,20150804,89,72,73
GHCND:USC00194105,20150805,83,63,66
GHCND:USC00194105,20150806,82,60,67
GHCND:USC00194105,20150807,79,60,66
GHCND:USC00194105,20150808,79,60,66
GHCND:USC00194105,20150809,80,60,62
GHCND:USC00194105,20150810,74,60,66
GHCND:USC00194105,20150811,84,66,68
GHCND:USC00194105,20150812,73,67,70
GHCND:USC00194105,20150813,82,64,66
GHCND:USC00194105,20150814,81,61,63
GHCND:USC00194105,20150815,84,62,69
GHCND:USC00194105,20150816,87,67,76
GHCND:USC00194105,20150817,88,69,77
GHCND:USC00194105,20150818,89,71,74
GHCND:USC00194105,20150819,92,70,71
GHCND:USC00194105,20150820,88,71,73
GHCND:USC00194105,20150821,84,69,-9999
GHCND:USC00194105,20150822,84,69,70
GHCND:USC00194105,20150823,78,66,68
GHCND:USC00194105,20150824,73,68,70
GHCND:USC00194105,20150825,81,68,73
GHCND:USC00194105,20150826,82,70,71
GHCND:USC00194105,20150827,82,62,69
GHCND:USC00194105,20150828,78,58,63
GHCND:USC00194105,20150829,79,59,64
GHCND:USC00194105,20150830,80,64,72
GHCND:USC00194105,20150831,85,68,68
GHCND:USC00194105,20150901,86,66,69
GHCND:USC00194105,20150902,83,64,68
GHCND:USC00194105,20150903,90,67,68
GHCND:USC00194105,20150904,88,67,68
GHCND:USC00194105,20150905,72,54,67
GHCND:USC00194105,20150906,82,54,67
GHCND:USC00194105,20150907,88,55,70
GHCND:USC00194105,20150908,91,70,74
GHCND:USC00194105,20150909,93,71,76
GHCND:USC00194105,20150910,92,73,74
GHCND:USC00194105,20150911,76,62,62
GHCND:USC00194105,20150912,76,56,58
GHCND:USC00194105,20150913,79,55,59
GHCND:USC00194105,20150914,78,56,57
GHCND:USC00194105,20150915,71,57,60
GHCND:USC00194105,20150916,81,59,61
GHCND:USC00194105,20150917,84,60,64
GHCND:USC00194105,20150918,87,61,67
GHCND:USC00194105,20150919,86,62,62
GHCND:USC00194105,20150920,82,62,67
GHCND:USC00194105,20150921,71,50,62
GHCND:USC00194105,20150922,68,53,58
GHCND:USC00194105,20150923,69,51,61
GHCND:USC00194105,20150924,68,52,65
GHCND:USC00194105,20150925,76,53,63
GHCND:USC00194105,20150926,67,48,52
GHCND:USC00194105,20150927,67,42,42
GHCND:USC00194105,20150928,73,42,60
GHCND:USC00194105,20150929,79,60,67
GHCND:USC00194105,20150930,82,67,72
GHCND:USC00194105,20151001,78,52,58
GHCND:USC00194105,20151002,63,49,51
GHCND:USC00194105,20151003,54,48,49
GHCND:USC00194105,20151004,55,43,44
GHCND:USC00194105,20151005,56,42,44
GHCND:USC00194105,20151006,61,44,48
GHCND:USC00194105,20151007,68,46,55
GHCND:USC00194105,20151008,70,50,51
GHCND:USC00194105,20151009,65,47,50
GHCND:USC00194105,20151010,68,47,57
GHCND:USC00194105,20151011,58,44,48
GHCND:USC00194105,20151012,64,48,48
GHCND:USC00194105,20151013,77,47,55
GHCND:USC00194105,20151014,71,53,54
GHCND:USC00194105,20151015,66,42,43
GHCND:USC00194105,20151016,61,43,50
GHCND:USC00194105,20151017,60,41,42
GHCND:USC00194105,20151018,55,31,37
GHCND:USC00194105,20151019,45,29,31
GHCND:USC00194105,20151020,49,29,49
GHCND:USC00194105,20151021,65,-9999,51
GHCND:USC00194105,20151022,58,51,54
GHCND:USC00194105,20151023,72,44,46
GHCND:USC00194105,20151024,51,39,45
GHCND:USC00194105,20151025,53,38,53
GHCND:USC00194105,20151026,62,38,38
GHCND:USC00194105,20151027,55,31,31
GHCND:USC00194105,20151028,55,28,48
GHCND:USC00194105,20151029,64,32,63
GHCND:USC00194105,20151030,75,39,49
GHCND:USC00194105,20151031,57,33,51
GHCND:USC00194105,20151101,58,45,45
GHCND:USC00194105,20151102,61,45,49
GHCND:USC00194105,20151103,70,40,-9999
GHCND:USC00194105,20151104,72,43,49
GHCND:USC00194105,20151105,66,47,51
GHCND:USC00194105,20151106,73,51,63
GHCND:USC00194105,20151107,74,57,57
GHCND:USC00194105,20151108,74,41,48
GHCND:USC00194105,20151109,54,34,41
GHCND:USC00194105,20151110,59,38,39
GHCND:USC00194105,20151111,52,39,45
GHCND:USC00194105,20151112,47,45,46
GHCND:USC00194105,20151113,57,45,56
GHCND:USC00194105,20151114,58,46,47
GHCND:USC00194105,20151115,47,33,37
GHCND:USC00194105,20151116,52,37,51
GHCND:USC00194105,20151117,58,30,41
GHCND:USC00194105,20151118,47,26,30
GHCND:USC00194105,20151119,50,30,48
GHCND:USC00194105,20151120,54,40,54
GHCND:USC00194105,20151121,55,42,46
GHCND:USC00194105,20151122,48,32,38
GHCND:USC00194105,20151123,44,35,36
GHCND:USC00194105,20151124,39,25,31
GHCND:USC00194105,20151125,43,25,41
GHCND:USC00194105,20151126,45,30,37
GHCND:USC00194105,20151127,58,30,55
GHCND:USC00194105,20151128,65,49,50
GHCND:USC00194105,20151129,56,28,34
GHCND:USC00194105,20151130,43,25,27
GHCND:USC00194105,20151201,40,26,31
GHCND:USC00194105,20151202,39,31,38
GHCND:USC00194105,20151203,47,38,42
GHCND:USC00194105,20151204,45,33,35
GHCND:USC00194105,20151205,47,32,47
GHCND:USC00194105,20151206,52,28,34
GHCND:USC00194105,20151207,57,31,32
GHCND:USC00194105,20151208,57,32,37
GHCND:USC00194105,20151209,41,36,36
GHCND:USC00194105,20151210,53,36,51
GHCND:USC00194105,20151211,55,37,40
GHCND:USC00194105,20151212,55,40,47
GHCND:USC00194105,20151213,58,42,50
GHCND:USC00194105,20151214,50,44,46
GHCND:USC00194105,20151215,53,44,46
GHCND:USC00194105,20151216,57,39,41
GHCND:USC00194105,20151217,47,35,46
GHCND:USC00194105,20151218,49,43,44
GHCND:USC00194105,20151219,48,34,35
GHCND:USC00194105,20151220,42,31,33
GHCND:USC00194105,20151221,48,29,40
GHCND:USC00194105,20151222,51,40,49
GHCND:USC00194105,20151223,53,39,43
GHCND:USC00194105,20151224,51,43,50
GHCND:USC00194105,20151225,69,40,56
GHCND:USC00194105,20151226,56,42,49
GHCND:USC00194105,20151227,51,42,44
GHCND:USC00194105,20151228,45,30,31
GHCND:USC00194105,20151229,31,23,30
GHCND:USC00194105,20151230,34,23,24
GHCND:USC00194105,20151231,36,23,36
GHCND:USC00194105,20160101,44,34,37
GHCND:USC00194105,20160102,39,37,37
GHCND:USC00194105,20160103,38,30,35
GHCND:USC00194105,20160104,42,24,25
GHCND:USC00194105,20160105,25,7,8
GHCND:USC00194105,20160106,26,7,17
GHCND:USC00194105,20160107,44,17,21
GHCND:USC00194105,20160108,42,21,32
GHCND:USC00194105,20160109,38,31,33
GHCND:USC00194105,20160110,43,31,43
GHCND:USC00194105,20160111,57,30,30
GHCND:USC00194105,20160112,32,19,31
GHCND:USC00194105,20160113,34,23,25
GHCND:USC00194105,20160114,28,19,27
GHCND:USC00194105,20160115,29,21,26
GHCND:USC00194105,20160116,36,21,35
GHCND:USC00194105,20160117,37,30,32
GHCND:USC00194105,20160118,33,23,25
GHCND:USC00194105,20160119,26,15,17
GHCND:USC00194105,20160120,26,15,22
GHCND:USC00194105,20160121,30,20,24
GHCND:USC00194105,20160122,30,18,18
GHCND:USC00194105,20160123,30,18,19
GHCND:USC00194105,20160124,29,19,21
GHCND:USC00194105,20160125,36,21,24
GHCND:USC00194105,20160126,39,24,34
GHCND:USC00194105,20160127,50,34,40
GHCND:USC00194105,20160128,42,21,22
GHCND:USC00194105,20160129,42,22,33
GHCND:USC00194105,20160130,38,30,34
GHCND:USC00194105,20160131,41,30,39
GHCND:USC00194105,20160201,55,30,50
GHCND:USC00194105,20160202,61,28,29
GHCND:USC00194105,20160203,49,28,29
